"T","CBDD","Standart sipariş"
"T","CBEM","Standart sipariş"
"W","ZCFP","Pharma CT-ConsFillup"
"T","CBIC","Standart sipariş"
"W","ZCFT","CTSM - ConsFillup"
"T","CBID","Standart sipariş"
"W","ZCP4","CP Complaint CRM"
"T","CBIN","Standart sipariş"
"G","ODOU","Τυπική Παραγγελία"
"W","ZCPJ","CP JP Standard Order"
"T","CBOC","Standart sipariş"
"G","ORB","Standard order BR"
"W","ZCPO","Standard Order (RR)"
"T","CBOD","Standart sipariş"
"W","ZCPR","CRM Complaints CP"
"G","OTTL","Τυπική Παραγγελία"
"T","CBOR","Standart sipariş"
"W","ZCRM","CRM Returns"
"G","PHTA","Pharma Samples"
"N","GTPO","Termijnorder"
"T","CBRL","Standart sipariş"
"D","ZPCF","Pharma - Konsbesch"
"W","ZDB","Draft Bill"
"T","CBRO","Standart sipariş"
"G","PLPA","Εκκρεμ.Αναγνώρ.Λίστ."
"N","HT01","Termijnorder"
"T","CBRP","Standart sipariş"
"D","ZPHC","\"CRM Pharma Rekl.\"\""
"N","IOT","Termijnorder"
"G","PLPR","Εκκρεμ.Λίστ.Κράτησης"
"W","ZDOT","Стандартна поръчка"
"T","CH","Sözleşme yönetimi"
"N","ISBR","Termijnorder"
"D","ZPSI","IECPP: Anfrage"
"T","CLRP","Alacaklar + iadeler"
"G","PLPS","Ακύρ.Λίστας Pendulum"
"W","ZDRD","Standard Order DRD"
"N","ISCC","CRM-reclamatie"
"D","ZPSO","Terminauftrag"
"T","CM","Standart sipariş"
"G","PS0","PS: quotation"
"W","ZDRJ","SP-PSJDRmemoReq"
"N","ISLA","Termijnorder"
"D","ZPSQ","Angebot"
"G","PS1","PS: Order"
"T","CMDM","Standart sipariş"
"W","ZEC1","IECPP: Inquiry"
"N","ISLB","Termijnorder"
"D","ZQ01","SP: Angebot ZQ01"
"T","CMOR","Standart sipariş"
"G","PS2","PS: Billing Request"
"W","ZEC2","IECPP: Quotation"
"N","ISLR","Termijnorder"
"T","CMR","Standart sipariş"
"D","ZQBV","QM als Service"
"W","ZEC3","IECPP: Order"
"G","PV","Προτεινόμενο Είδος"
"6","ZCFP","Pharma CT-ConsFillup"
"D","ZQT","Angebot"
"N","ISPO","Termijnorder"
"T","CMRC","Standart sipariş"
"W","ZERS","Spare Part Order"
"G","RA","Αίτηση Διόρθωσης"
"6","ZCFT","CTSM - ConsFillup"
"D","ZQT1","SP: Angebot ZQT1"
"T","CMRP","Standart sipariş"
"N","KA","Consignatie-afhaling"
"W","ZEXP","Поръчка за доставка"
"6","ZCP4","CP Complaint CRM"
"D","ZRE","Retoure"
"G","RA2","ARM Επιδιόρθ.Εντ.Ετ."
"T","CPF1","Standart sipariş"
"W","ZF4Y","Internet Sales CRM"
"N","KAZU","Consi.afhal. toelev."
"D","ZRES","Retoure"
"6","ZCPJ","CP JP Standard Order"
"T","CPF2","Standart sipariş"
"G","RAS","Διορθώσεις/Υπηρεσία"
"W","ZFOR","Foreign Trade OR"
"N","KB","Consign.aanvulling"
"D","ZRO","CPG-Sofortauftrag"
"Q","KB","Konsig.doplnenie"
"6","ZCPO","Standard Order (RR)"
"T","DHU","Tsl.sprş.tü.HU hrkt."
"W","ZG2","SPCrd Memo Request"
"G","RCM","Rem.p/cta.e ord.merc"
"D","ZRR","Terminauftrag (VMI)"
"6","ZCPR","CRM Complaints CP"
"N","KE","Consignatie-afgifte"
"T","DL","Teslimat sprş.türü"
"Q","KE","Konsignačný odber"
"W","ZG20","Credit Memo CRM"
"D","ZRRC","Recycling Retouren"
"G","RCS","Rem.p/ cta. simpl.f."
"6","ZCRM","CRM Returns"
"N","KL","Kosteloze levering"
"Q","KL","Bezplatná dodávka"
"T","DL2","ARM mşt.iade tsl."
"W","ZGT1","GTS Standard Order"
"D","ZRRD","HT01auftrag"
"G","RE","Επιστροφές"
"6","ZDB","Draft Bill"
"N","KM","Hoeveelheidscontract"
"T","DLR","İade tsl.sprş.tü."
"Q","KM","Množstevný kontrakt"
"D","ZRRO","HT01auftrag"
"W","ZGTM","CRM Complaints"
"6","ZDOT","Standardni nalog"
"G","RE2","Προκαταβ.Επιστρ."
"N","KN","Kosteloze nalevering"
"T","DLRE","İade tsl.sprş.tü."
"Q","KN","Bezplat.dod.dodávka"
"D","ZRUS","ZRUS-Sofortauftrag"
"W","ZGTS","GTS Standard Order"
"6","ZDRD","Standard Order DRD"
"G","REB","Returns BR NF cust."
"N","KR","Consignatieretouren"
"T","DMRB","Standart sipariş"
"Q","KR","Konsig.vrát.dod."
"D","ZSAA","SP Auslag. Auftrag"
"W","ZI01","SP:Inquiry"
"G","REPA","CRM Repair"
"6","ZDRJ","SP-PSJDRmemoReq"
"J","ZA25","標準受注"
"Q","KRZU","Konsig.vrát.dodáv."
"N","KRZU","Consi.retour.toelev."
"T","DMRP","Standart sipariş"
"D","ZSAL","Verkaufsvorgang CRM"
"W","ZINS","ISA Inquiry"
"6","ZEC1","IECPP: Inquiry"
"G","RK","Αίτ.Διορθ.Τιμολογίου"
"4","CBIC","BEV Stand. O. IC CRM"
"J","ZA26","標準受注"
"D","ZSB","Dritte ohne SN"
"Q","L2","Požiad.na ťarchopis"
"T","DMRR","Standart sipariş"
"W","ZIS","Internet Sales CRM"
"N","L2","Debetnota-aanvraag"
"6","ZEC2","IECPP: Quotation"
"G","RM","Επιστρ.παραγγ.παραδ."
"J","ZA27","標準受注"
"D","ZSBC","Terminauftrag"
"Q","L2DM","Nákl.-pož.ťarchopisu"
"T","DOUR","Standart sipariş"
"W","ZKE","Cons. Issue Pharma"
"6","ZEC3","IECPP: Order"
"N","L2DM","Kosten debetn.aanvr."
"J","ZA28","標準受注"
"4","CBID","Indirect Sales Order"
"D","ZSC7","PS: PS-Contract"
"G","ROB","Returns BR own NF"
"Q","L2DP","Nákl.-požiad.zálohy"
"T","DZL","Yerel tsl.sprş.tü."
"W","ZL01","LGL: Matter Contract"
"6","ZERS","Spare Part Order"
"J","ZA29","標準受注"
"G","RTTC",""
"N","L2DP","Kostenger. bet.aanv."
"D","ZSDI","Terminauftrag"
"Q","L2WT","Hodnota pož.ťarchop."
"T","ECO1","Teklif"
"W","ZL02","LGL: Matter ProForma"
"4","CBIN","Acquire indirect dat"
"6","ZEXP","Nalog Isporuke"
"J","ZA30","標準受注"
"G","RTTR",""
"D","ZSDQ","Angebot"
"N","L2WT","Wrd. debetnota-aanv."
"T","ECO2","Teklif"
"W","ZL2","SP Debit Memo Req."
"Q","LA","Odber vrat.obalov"
"6","ZF4Y","Internet Sales CRM"
"J","ZAD1","A&D 引合"
"4","CBOC","BEV CO Driver Credit"
"D","ZSE","Dritte mit SN"
"N","LA","Emballage-afhaling"
"T","ED","HSV çekişi"
"W","ZL20","Debit Memo CRM"
"G","RX2","ARM Εντ.Εξωτ.Επιδιόρ"
"6","ZFOR","Foreign Trade OR"
"Q","LK","Plán dodávok EPS"
"J","ZAD2","A&D 提案"
"D","ZSE1","Servicevorgang CRM"
"4","CBOD","BEV CO Driver Debit"
"W","ZLAQ","Sales quote"
"N","LK","EDV-leveringsplan"
"T","EDKO","HSV için düzeltme"
"6","ZG2","SPCrd Memo Request"
"Q","LN","PoplZaNevrátVratObal"
"G","RZ","Επιστ.Συμφ.Παραδ."
"J","ZAD3","A&D 契約"
"D","ZSEA","SP Einlag. Auftrag"
"T","ETO1","Teklif"
"4","CBOR","BEV Standard Order"
"Q","LP","Plán dodávok"
"W","ZLES","LES Standard Order"
"J","ZAD4","A&D 受注"
"6","ZG20","Credit Memo CRM"
"G","SD2","ARM SDF"
"N","LN","Emballagenabelasting"
"T","ETO2","Teklif"
"D","ZSEM","Servicevorgang CRM"
"W","ZMLA","ML Order"
"Q","LV","Pož.faktúry-zmluva"
"G","SM","Product proposal"
"J","ZAD5","保守サービス"
"N","LP","Leveringsplan"
"4","CBRL","BEV Ret Loading Note"
"D","ZSJ1","ZSJ1-Anfrage ZSPI"
"T","G2","Alacak dknt.talebi"
"W","ZNL1","ZNL1-Standard Order"
"Q","LZ","Plán dodáv.s odvol."
"6","ZGT1","GTS Standard Order"
"J","ZAG","見積伝票"
"G","SO","Επείγουσα Παραγγελία"
"N","LV","Factuuraanvr. contr."
"D","ZSJ2","ZSJ2 Ang.Projekt SPJ"
"W","ZOR","ZOR Order"
"T","G2WT","Alck.dknt.tlp.değeri"
"Q","LZM","Pl.dod.s exp.zákaz."
"6","ZGTM","CRM Complaints"
"4","CBRO","BEV Sales Returns"
"J","ZAG1","見積 (/受注)"
"1","01","客户独立需求"
"D","ZSMO","SM -Terminauftrag"
"N","LZ","Lever.pl. met afroep"
"G","TA","Τυπική Παραγγελία"
"T","GA2","Alacak dknt.talebi"
"Q","LZS","PDPreMetDobrSFaktúr."
"6","ZGTS","GTS Standard Order"
"J","ZAPO","APO 標準受注"
"W","ZORD","Стандартна поръчка"
"4","CBRP","Indirect Sales Req"
"D","ZSO5","SP: SD/PS Auftrag"
"T","GCTA","Standart sipariş"
"N","LZM","LP met afleverorder"
"6","ZI01","SP:Inquiry"
"1","AA","促销订单"
"Q","MAKO","Korekt.exp.zákazky"
"G","TAF","Πρότ.Παραγγελ.(FP1)"
"J","ZAT","要返却梱包材pickupUS"
"W","ZOT3","Order Templ.Bill.R/3"
"4","CBSM","Product proposal"
"D","ZSP","LSP Buchen"
"T","GK","Grup sözleşmesi"
"6","ZINS","ISA Inquiry"
"Q","MV","Nájomná zmluva"
"N","LZS","LP cr.notameth. m.f."
"1","AE","服务性订单的报价"
"J","ZBD","標準受注"
"W","ZOTC","Order Templ.Bill.CRM"
"T","GPOR","Standart sipariş"
"1","AEBO","标准订单"
"Q","NL","Doplňujúca dodávka"
"4","CH","Gestiune contracte"
"6","ZIS","Internet Sales CRM"
"D","ZSP0","SP: Staatsvertrag"
"N","MAKO","Afleverorder-corr."
"G","TAM","Παραγγελία Παράδοσης"
"J","ZBF1","請求フレームワーク"
"W","ZOWP","SPECIAL WP ORDER"
"T","GTPO","Standart sipariş"
"1","AEBQ","报价"
"Q","ODOE","Termínovaná zákazka"
"D","ZSP1","SP: Serviceauftrag"
"4","CLRP",""
"N","MV","Huurcontract"
"6","ZKE","Cons. Issue Pharma"
"W","ZPBO","Credit Memo  Points"
"T","HT01","Standart sipariş"
"J","ZBR2","SP デビットメモ依頼"
"D","ZSP2","SP: Kost Plus FF"
"Q","ODOT","Termínovaná zákazka"
"6","ZL01","LGL: Matter Contract"
"G","TAV","Πρότυπη Παραγγ.(VMI)"
"N","NL","Aanvullingslevering"
"1","AF","IECPP：查询"
"4","CM","Comandă standard"
"J","ZBV","工場販売"
"T","IOT","Standart sipariş"
"D","ZSP3","SP: Kost Plus DMR"
