"T-K521A13","","","0000000","00000","","TRAD","0","","","","20030313","CATT_USER","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.13","","","Rosenheim","","","","83026","","SCM52113","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.13","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"T-K500C27","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","H.A.G. Potsdam Gr.27","","","","Potsdam","","","","14467","","SCM500-27","","","D","","","","","","Schopenhauerstraße 38","","0331/918-0","","","","","","X","","","","","","H.A.G. POTSDAM GR.27","","POTSDAM","","00000000","","","00000000","","","","","X","X","","",""
"T-K521A14","","","0000000","00000","","TRAD","0","","","","20030313","CATT_USER","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.14","","","Rosenheim","","","","83026","","SCM52114","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.14","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"T-K521A15","","","0000000","00000","","TRAD","0","","","","20030313","CATT_USER","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.15","","","Rosenheim","","","","83026","","SCM52115","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.15","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"T-K500C28","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","H.A.G. Potsdam Gr.28","","","","Potsdam","","","","14467","","SCM500-28","","","D","","","","","","Schopenhauerstraße 38","","0331/918-0","","","","","","X","","","","","","H.A.G. POTSDAM GR.28","","POTSDAM","","00000000","","","00000000","","","","","X","X","","",""
"SA102","","","0000000","00000","","","0","","","","20111102","C5164153","","","0001","","CN","","","Supplier 102 LLC","","","","Shanghai","","","","123456","","SUPPLIER 1","","","E","","","","","","1 Mainstreet","","","","","","","","","","","","","","SUPPLIER 102 LLC","","SHANGHAI","","00000000","","","00000000","","","","","X","","","",""
"ARAMI-09","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-09","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-09","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"T-K521A16","","","0000000","00000","","TRAD","0","","","","20030313","CATT_USER","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.16","","","Rosenheim","","","","83026","","SCM52116","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.16","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"T-K500C29","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","H.A.G. Potsdam Gr.29","","","","Potsdam","","","","14467","","SCM500-29","","","D","","","","","","Schopenhauerstraße 38","","0331/918-0","","","","","","X","","","","","","H.A.G. POTSDAM GR.29","","POTSDAM","","00000000","","","00000000","","","","","X","X","","",""
"SA103","Company","","0000000","00000","","","0","","","","20111202","D056581","","","ZICH","","CN","","","Supplier 103 LLC","","","","","","","","","220","","","","E","","","","","","","","","","","","","","","","","","","","SUPPLIER 103 LLC","","","","00000000","","","00000000","","","","","","","","",""
"T-K521A17","","","0000000","00000","","TRAD","0","","","","20030313","CATT_USER","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.17","","","Rosenheim","","","","83026","","SCM52117","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.17","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"ARAMI-10","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-10","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-10","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"T-K500C30","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","H.A.G. Potsdam Gr.30","","","","Potsdam","","","","14467","","SCM500-30","","","D","","","","","","Schopenhauerstraße 38","","0331/918-0","","","","","","X","","","","","","H.A.G. POTSDAM GR.30","","POTSDAM","","00000000","","","00000000","","","","","X","X","","",""
"0000100136","Ms.","","0000000","00000","","","0","","","","20021030","OLBERT","","","KRED","","US","","","Susan Affleck","","","","DENVER","DENVER","","","80216","CO","AFFLECKS","","","E","","","","","","125 Fifth Avenue","","","","","","","","","","","","","","SUSAN AFFLECK","","DENVER","","00000000","","","00000000","","","","","","","","0603101401",""
"SA104","Company","","0000000","00000","","","0","","","","20111118","C5164153","","","0001","","CN","","","Supplier 104 LLC","","","","Shanghai","","","","123456","","SUPPLIER 1","","","E","","","","","","1 Mainstreet","","","","","","","","","","","","","","SUPPLIER 104 LLC","","SHANGHAI","","00000000","","","00000000","","","","","X","","","",""
"T-K521A18","","","0000000","00000","","TRAD","0","","","","20030313","CATT_USER","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.18","","","Rosenheim","","","","83026","","SCM52118","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.18","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"ARAMI-11","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-11","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-11","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"T-K500D00","Firma","","0000000","00000","","TRAD","0","","","","20030611","WEISSANN","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.00","","","","Köln","","","","27691","","SCM500-00","","","D","","","","","","Mittermaierstraße 112","","0221/35467","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"SA105","Company","","0000000","00000","","","0","","","","20111122","C5164287","","","0001","","CN","","","Supplier 105 LLC","","","","Shanghai","","","","","020","SUPPLIER 1","","","E","","","","","","","","","","","","","","","","","","","","SUPPLIER 105 LLC","","SHANGHAI","","00000000","","","00000000","","","","","X","","","",""
"0000100137","Mr.","","0000000","00000","","","0","","","","20021030","OLBERT","","","KRED","","US","","","Ben Devine","","","","DENVER","DENVER","","","80216","CO","DEVINEB","","","E","","","","","","5 Old West Road","","","","","","","","","","","","","","BEN DEVINE","","DENVER","","00000000","","","00000000","","","","","","","","0603101401",""
"T-K521A19","","","0000000","00000","","TRAD","0","","","","20030313","CATT_USER","","","ZTMM","","DE","","","Humpert u. Töchter GmbH","Gr.19","","","Rosenheim","","","","83026","","SCM52119","","","D","","","","","","Mosbachstr. 190","","","","","","","","","","","","","","HUMPERT U. TÖCHTER GMBH","GR.19","ROSENHEIM","","00000000","","","00000000","","","","","X","X","","",""
"ARAMI-12","Firma","","0000000","00000","","","0","","","","20020510","VOLMERING","","","VEND","","US","","","Aramingo-12","","","","WILMINGTON","NEW CASTLE","","","19801","DE","SRM","","","E","","","","","","1234 West Chester Pike","","610-107-122","","610-107-124","","","","","","","","","","ARAMINGO-12","","WILMINGTON","","00000000","","","00000000","","","","","","","","0800301001",""
"T-K500D01","Firma","","0000000","00000","","TRAD","0","","","","20030225","RENDES","","","LIEF","","DE","","","Bürohandel Leifritz GmbH Gr.01","","","","Köln","","","","27691","","SCM500-01","","","D","","","","","","Mittermaierstraße 112","","0221/35467-0","","","","","","X","","","","","","BÜROHANDEL LEIFRITZ GMBH","","KÖLN","","00000000","","","00000000","","","","","X","X","","",""
"SA108","Company","","0000000","00000","","","0","","","","20120525","C5173672","","","ZICH","","US","","","Supplier 108 LLC","","","","AUTAUGAVILLE","AUTAUGA","","","","","","","","E","","","","","","","","","","","","","","","","","","","","SUPPLIER 108 LLC","","AUTAUGAVILLE","","00000000","","","00000000","","","","","","","","0100141511",""
"0000100138","Ms.","","0000000","00000","","","0","","","","20021030","OLBERT","","","KRED","","US","","","Judy Diaz","","","","DENVER","DENVER","","","80216","CO","DIAZJ","","","E","","","","","","10 Millers Close","","","","","","","","","","","","","","JUDY DIAZ","","DENVER","","00000000","","","00000000","","","","","","","","0603101401",""
